,Preferred Label
478526,4'-selenoguanosine
236205,"4-hydroxy-4-methyl-6-propyl-2-(4-tolyl)-4H-5,6-dihydro-1,3-selenazine"
14720,Agromyces cerinus
268415,athenolide A
310684,(E)-5-(diethylamino)-2-((4-iodophenylimino)methyl)phenol
497414,Camptodactyly vertebral fusion
281942,eupomatilone 4
252382,3-hydroxyadipic acid
459265,Marchandiomyces lignicola
105018,"RASD1 protein, Arabidopsis"
510162,Megacolon
314152,Ersilan
46365,2'-cyano-2'-deoxyarabinofuranosylcytosine
111223,"antigen 84, Mycobacterium"
141791,Gly-Ile-Met-Ser-Ser-Leu-Met-Lys-Lys-Leu-Ala-Ala-His-Ile-Ala-Lys-NH2
90463,vascular endothelial growth factor A (138-165)
501518,Tachypnea
195150,(sulfobromophthalein)glutathione conjugate
213694,digoxin dialdehyde
107074,Zwit-1F peptide
239991,cohibin D
57760,"1,1'-dideoxygossypol"
64296,AWD 26-06
86181,"Clec4b2 protein, rat"
318227,tetrathioaspirochlorine
467646,Amanita bisporigera
499857,Opioid-Related Disorders
422815,"Drainage, Postural"
94397,"Fcrlm2 protein, mouse"
104670,"CCDC28B protein, mouse"
184900,"(rac)-2-isopropyl-2,3-dimethyl-1-oxy-2,3-dihydro-imidazol-4-one"
232818,2-S-cysteinylcaffeic acid isoprenyl ester
13622,Streptomyces albofaciens
461853,Jattaea bruguierae
190024,"7,8-methylenedioxylycoctonine"
242122,"9,10-dimethylanthracene"
181345,"Vha100-1 protein, Drosophila"
71063,RWJ 22108
490822,"Osteopetrosis, Autosomal Recessive 5"
252291,flavuside A
109206,"Smad9 protein, rat"
79185,catalposide
457945,Pholiotina gracilenta
34556,tetrakis(4-(carboxymethyleneoxy)phenyl)porphyrin
264154,phenyl 2-acetamido-2-deoxy-3-O-beta-D-galactopyranosyl-alpha-D-galactopyranoside
183327,ironmycin F
240134,gaudimycin C
272293,N-benzyloxy-1H-benzotriazole-1-carboxamide
117544,"smad3b protein, zebrafish"
278590,"7-chloro-2-phenyl-9H-(1)-benzopyrano(3,2-b)-selenophene-9-one"
96916,methyl 3-hydroxy-19-oxo-5-cholen-24-oyl glycinate 19-(O-carboxymethyl)oxime-bovine serum albumin conjugate
26492,GSK 2334470
169706,"Din-1 protein, C elegans"
29464,"N(1),N(6)-bis(2,3-dihydroxybenzoyl)-1,6-diaminohexane"
87000,atrial natriuretic factor (4-23)
92194,"EPR1 protein, Arabidopsis"
70899,didehydro-cortistatin A
104445,"gene 9 protein, Rotavirus B"
310427,"2,4,6-tribromoanisole"
232910,methyl 6-deoxy-3-methylmannopyranoside
162541,dehydroepiandrosterone receptor
285208,"6-decyl-2-ethoxy-3-methoxy-5-methyl-1,4-benzoquinone"
281680,technetium Tc 99m stannous phytate
425269,Cortinarius heterocycloideus
63454,dermorphin
215584,"3,5-bis(methoxy)-4-hydroxy-benzylideneimidazolinone"
435756,Gymnopilus crociphyllus
467522,Chaetomium uniseriatum
71949,brain natriuretic peptide-45
63596,"tetrazolo(5,4-a)-6-methyluracil"
457803,Geastrum baculicrystallum
200324,texaline
102659,"Dppa5 protein, mouse"
477257,"carbocyclic 6,6'-O-cyclo-2'-deoxycytidine"
461597,Neofusicoccum corticosae
489284,Osmium-187
18681,Actinomyces provencensis
36262,"6-(N-(3,4-dichlorophenyl)amino)-7-chloro-5,8-quinolinedione"
14491,Flavobacterium saccharophilum
155194,"grainin 1 protein, Entamoeba histolytica"
270051,BD-1 biostimulation agent
105795,"LOS2 protein, Arabidopsis"
514949,"Chromosome 14q, partial deletions"
42459,TMC 2C
73303,poly(sodium styrenesulfonate-co-2-vinylnaphthalene)
202623,7-tripropargylamine-7-deaza-2'-deoxyguanosine
132107,"trophoblast glycoprotein, rat"
430709,Calogaya ferrugineoides
448921,Myrmecridium montsegurinum
172563,"LORF protein, Erpobdella octoculata"
175035,"Transcription Factors, TFII"
447380,Xanthoparmelia lavicola
205095,triethylamine-N-oxide
306689,bitungolide F
82692,"FtsZ84 protein, E coli"
195744,"3-O-methyl-3',4'-methylenedioxyellagic acid"
83560,"CSMD1 protein, human"
436444,Pucciniastrum actinidiae
436039,Clavaria parvispora
98789,"LEU3 protein, S cerevisiae"
19780,"1,2-dihydro-2,2,4-trimethylquinoline"
212663,2-acetamido-2-deoxy-galacturonic acid
473997,formycin B
79251,BL 2365
95606,"Pkm protein, rat"
122668,"HNRNPC protein, human"
125096,ribosomal protein 14.22
219584,N-(hydroxymethyl)urea
226050,"1, 3-dimethoxy-anthraquinone"
114867,laminin 6
162549,"CDC2A protein, Arabidopsis"
57252,afuresertib
99594,"mak3 protein, S pombe"
97346,"reverse sphingomyelin-synthase, rat"
87002,"Arhgap17 protein, rat"
104051,amyloid beta-peptide (1-14)
89604,"trx2 protein, S pombe"
178750,"bradykinin, Phe(8)-psi-CH2NH-Arg(9)-"
273637,sodium methyl 2-acylamido-2-deoxy-6-O-sulfo-glucopyranoside
442140,Phaeoacremonium hispanicum
254740,sceptrumgenin 3-O-lycotetraoside
120653,"INCURVATA2 protein, Arabidopsis"
