,Preferred Label
492360,"Heredodegenerative Disorders, Nervous System"
451718,Polyporus tucumanensis
259751,3-(4-methoxybenzoyl)propionic acid
109222,"Crag protein, Drosophila"
64958,CK 492B
77671,10-heptadecen-2-one
119668,Ly-49W2 receptor
84506,"fsoF protein, E coli"
67403,T-2307
475017,3-aldoxime pyridine adenine dinucleotide
248736,semidehydroascorbic acid
203828,iminodisuccinic acid
492187,Hypersplenism
457235,Aphanoascus mephitalis
246157,desmethylclobutinol
138167,Glucose Dehydrogenases
196498,"3'-hydroxy-2,5'-dimethoxystilbene"
460213,Cortinarius fructuodorus
39423,Ruthenium Sal
131658,"somatotropin releasing hormone (1-32)NH2, Pro(15)-Leu(27)-"
262041,"diphosphin 4,6-bis(3-diisopropylphosphinophenyl)dibenzofuran"
19254,Sphingomonas canadensis
7687,Dietzia cinnamea
211476,1-hydroxy-1-hydroperoxynonane
125052,omega-3 fatty acid desaturase
105155,"ORMDL3 protein, human"
36694,E 4010
55010,lycoplanine D
448421,Ascochyta viciae-villosae
124363,sphingomyelin deacylase
168933,"PqqB protein, Pseudomonas putida"
62801,stimforte
87438,"Slc15a3 protein, rat"
212464,technetium Tc 99m iron-ascorbic acid
348325,"long non-coding RNA MDC1-AS, human"
479030,UDP-4-O-methyl-N-acetylglucosamine
434467,Phyllopsora atrocarpa
86437,"TNS2 protein, human"
311746,2-benzoyl-4-iodoselenophene
169967,"NRG2 protein, human"
443654,Rhizophydium brooksianum
186083,"5,4'-dihydroxyflavonoid-7-O-pyranglucuronate butyl ester"
114401,pantothenate synthetase
13115,Hydrogenophaga atypica
452749,Fusarium libertatis
74587,fenugreek seed meal
511938,"Carotid Artery, Common"
66452,"17-ethynylandrostane-3,17-diol"
76044,Ro 4-6790
253634,"4-hydroxynona-2,6-dienal"
430663,Pluteus fuligineovenosus
110728,ProNectin F
10842,Streptococcus panodentis
498710,X-Linked Combined Immunodeficiency Diseases
288135,O-benzylphosphoglycocyamine
89084,chromatin 3'-phosphatase-5'-hydroxy kinase
182766,"CATP-1 protein, C elegans"
9257,Rhodospirillum rubrum
8255,Cobetia marina
457389,Gliocladium aureum
88454,"rBp7a protein, zebrafish"
304899,AngP1 neurotoxin
3500,Acidovorax temperans
146348,"Cia1 protein, S pombe"
139392,"MOM protein, Arabidopsis"
501310,No-Reflow Phenomenon
98113,glycylhistidine
288932,"19-nor-4-androstene-3,17-diol"
463857,Gymnopilus picreus
161936,"Npy1r protein, mouse"
44946,anhydrodihydroartemisinin
41578,"ceratotoxin C protein, Ceratitis capitata"
102467,"RASD2 protein, human"
209858,HMDESeR
37062,WRYamide
39673,5-acetamido-4-oxo-6-(2-thienyl)hex-2-enoic acid
231140,N-(2-mercaptoethyl)gluconamide
45825,betamethasone sodium phosphate
130844,"casp protein, Drosophila"
458239,Puccinia unciniarum
276624,"6-hydroxy-1,4-dimethylcarbazole"
462280,Ramalina conduplicans
108778,"calneuron II, rat"
98422,"At2g31650 protein, Arabidopsis"
21029,binapacryl
37608,zhankuic acid A
456446,Cyphellostereum pusiolum
228767,aplyronine C
179132,"AT1G21000 protein, Arabidopsis"
215455,methyl 6'-demethyl-6'-cyanoabscisate
307968,pyrrospirone B
107525,"MGAT4A protein, human"
229114,Benzilates
306576,Restore polishing paste
34343,adociasulfate-2
155285,"Kat8 protein, mouse"
179321,tetracyanmethemoglobin
147544,"Dna2 protein, S pombe"
252289,isocyclocapitelline
439014,Hodophilus indicus
64301,2-(N-n-3-fluoropropyl-N-(4-fluorophenyl)ethylamino)-5-hydroxytetralin
25221,gallium tetrasulfophthalocyanine
7436,Pseudomaricurvus alcaniphilus
438442,Erysiphe hyperici
39858,CD4-Pseudomonas toxin
317363,"11-hydroxypregna-4-ene-3,6,20-trione"
181537,valylvaline
421477,Futur Acryl 2000
23678,"isophane insulin, beef-pork"
98484,"AMS protein, Arabidopsis"
116305,"Anp1 protein, Candida glabata"
96140,"ARRDC3 protein, mouse"
495372,"Insomnia, Fatal Familial"
444835,Neosonderhenia eucalypti
184128,agelagalastatin
323588,"NITR protein, channel catfish"
90029,"Lrp1b protein, mouse"
499188,Hate
394994,"Rev.1 vaccine, Brucella melitensis"
108936,PCTAIRE-3 protein kinase
232772,elemicin
271462,trichloroiodopyridine
30002,cobamamide
89254,protein C Yonago
63738,H 142
441615,Sporothrix bragantina
43633,4-(N-methyl-N-(4-(trifluoromethyl)phenyl)sulfamoyl) benzoic acid
501058,Vesicovaginal Fistula
140221,valyl-prolyl-glycyl-valyl-glycine
200318,diplasterioside B
511792,Supraoptic Nucleus
296748,Eicosanoids
204168,diethyl phosphate
220168,lactosylurea
201976,poly-omega-methacryloyloxyundecyltrimethylammonium bromide
435219,Wickerhamomyces canadensis
442010,Cladonia uliginosa
120952,3-(3-thienyl)-l-alanyl-ornithyl-proline
6271,Acholeplasma hippikon
219076,byzantionoside B
462790,Marasmiellus stenophyllus
439290,Uromyces phaseoli
15278,Bacillus filamentosus
307384,3-bromobenzaldehyde
432326,Caloplaca austrocitrina
52847,4-carbomethoxythiazoline
129130,"vab-8 protein, C elegans"
131592,"PapF protein, E coli"
190292,N-desmethylvenlafaxine
146827,"PDE6C protein, human"
50254,romurtide
29325,LG 268
81671,"myosin cross-reactive antigen, Streptococcus pyogenes"
298197,firmianone B
48350,guizhi-shaoyao-zhimu decoction
77652,Dyphylline
452056,Diatrype macowaniana
462407,Erysiphe ulmariae
180801,"MutL protein, E coli"
464116,Aspergillus subolivaceus
233878,STF-31
97470,trichocellin
502309,"Aphakia, congenital primary"
178124,"TUBGCP4 protein, human"
117846,"XLdb1 protein, Xenopus"
175006,"Tur C 1 protein, Batillus cornutus"
431123,Ducatina umbilicata
146389,"HtrA1 protein, rat"
203017,"3-bromo-1,1,1-trifluoro-2-propanol"
112933,"ZFP1 protein, Arabidopsis"
43093,isatin-5-sulfonic acid
487939,Rib Fractures
267182,"methyl 2-(3-methyl-(2-fluoro-4-chloro-5-ethylsulfonamidephenyl)-4,5-dihydro-5-oxo-1H-1,2,4-triazol-4-yl)methylenephenyl-2-methoxyiminoacetate"
108411,hemoglobin Uxbridge
493128,"Mental Retardation, X-Linked 23"
503216,Sutures
154551,"Factor Xa, des(1-44)-"
220198,polyoxyethylene-10-dodecyl ether
242895,artabotryside B
46999,lafutidine
185377,"(2S,3S,4R,5S)-2-(9-adenylmethyl)-(3-O,5-C-methylene)-N-(p-toluenesulfonamido)pyrrolidine"
462004,Drechslerella brochopaga
