,Preferred Label
218960,"(E)-4-carboxystyryl-4-chlorobenzylsulfone, sodium salt"
26271,1-cyano-2-(4-azidobenzoylethyl)-3-(2-(((5-methyl-4-imidazolyl)methyl)thio)ethyl)guanidine
30604,1-hydroxyanthraquinone
116041,"Ly11 protein, mouse"
245721,diketocoriolin B
510359,Serositis
462032,Diaporthe caatingaensis
50309,Limonene
158628,"Cep170 protein, human"
5219,Deinococcus hopiensis
425003,Boudiera tracheia
37223,CPLX inhibitor
58698,CL285032
457781,Rhinocladiella tropicalis
27916,JMV 176
29094,"cis-2,3-epoxy-4-oxododecanamide"
451679,Gyalolechia ehrenbergii
166282,"Cav2 protein, mouse"
73154,BW 633C
189580,4-hydroxyhomoanatoxin-a
145209,"TSPYL5 protein, human"
259810,"octahydro-3,6-dimethyl-3,12-epoxy-9-(3'-(3,4-dichlorphenyl)propyl)-12H-pyrano(4,3-j)-1,2-benzodioxepin"
95166,GRB7 Adaptor Protein
93669,Caspase 2
501201,Orthostatic Intolerance
142274,"RanBP3L protein, human"
238541,"spiro(3H-indole-3,2'-thiazolidine)-3'(1,2,4-triazol-3-yl)-2,4'(1H)-dione"
235245,1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide
56874,Inosine
168190,"SGTB protein, human"
128491,"SRGAP3 protein, human"
290056,umbelliferone 6-carboxylic acid
48910,mesotrin
217415,kairatenyl palmitate
513821,Safety-Based Medical Device Withdrawals
7318,Achromobacter pulmonis
143744,ribonuclease T-tat
84820,"PEX1 protein, S cerevisiae"
419571,corega tabs
441327,Exosporium livistonicola
220676,austrafuran C
60695,gleditsioside B
182571,"Cwc23 protein, S cerevisiae"
495110,Zoonoses
279150,telomestatin
135530,"ALG13 protein, human"
31983,icatibant
205384,poly(glycolic acid)-co-poly(4-hydroxybutyrate)
167441,"WRKY33 protein, Arabidopsis"
271056,RN2 compound
32855,arbusculin A
301180,poly(allylamine-cyanocinnamylideneacetate)
184830,1-hydroxydehydroherbarin
152038,"CRELD2 protein, mouse"
7168,Leptobacterium flavescens
107945,dcPNPP-Glu
2044,Calothrix kawraisky
303679,dopamine 3-O-sulfate
493712,Glaucoma
426963,Mycosphaerella microsora
59712,3-bromophenyl-2;-fluorophenyl thiosemicarbazone
40313,"SERPING1 protein, human"
251295,10-isothiocyano-4-cadinene
67093,"sulfaethidole, sulfamethizole drug combination"
264730,dimethylselenide
80741,"Ldc1 protein, mouse"
199056,3-(2-(6-(2-tert-butoxyethoxy)pyridin-3-yl)-1H-imidazol-4-yl)benzonitrile
65783,indaniline
12086,Polycyclovorans algicola
49218,diepoxybutane
294366,"2,4-dihydroxyquinoline"
451871,Armillaria aotearoa
174487,"AT5G03500 protein, Arabidopsis"
483820,thorium nitrate
138331,"HYR1 protein, S cerevisiae"
256344,polystyrene butyl diethylsilane
80200,"Milr1 protein, rat"
116100,nicotianamine synthase
149237,"Acaca protein, mouse"
105424,"CTDSPL2 protein, human"
73690,furalazine
429393,Rasamsonia columbiensis
14131,Marinobacter taiwanensis
194552,trichoderin A
465307,Gemmina gemmarum
457176,Lophiostoma quadrinucleatum
194541,muriflasteroid C
120440,"leader proteinase, foot-and-mouth disease virus"
512329,CD8-Positive T-Lymphocytes
428448,Leveillula cylindrospora
175988,"plekha7a protein, zebrafish"
98776,beta-Arrestins
24473,propionin B
210455,cornin iridoid
226197,pratosine
265543,"1,8-dimethylfluoren-9-one"
18195,Mitsuaria chitosanitabida
92118,"Inpp5f protein, mouse"
422629,HOP protocol
200125,Mercuribenzoates
33056,2-(formylamino)trachyopsane
497597,Bestrophinopathy
315073,cholesterylene
209191,"4alpha,5alpha-epoxy-8beta-hydroxy-1alpha-hydro-alpha-guaiene"
92059,"SRGP-1 protein, C elegans"
125733,"Actl6a protein, mouse"
84519,"angiotensin II, Sar(1,7)-"
387389,"MIRN369 microRNA, mouse"
13415,Salinicoccus sediminis
495040,"Deafness, Autosomal Dominant 7"
218727,fusicoccin H
271855,ansellone B
150444,"CD300LF protein, human"
138145,"PRP1 protein, S pombe"
54768,Xue Bi Tang
97316,aminoglycoside N(3')-acetyltransferase
220804,16-methyl-8-heptadecenoic acid
492103,"Liver Abscess, Pyogenic"
21130,"antifungal protein, Sarcophaga peregrina"
423093,Enhanced Recovery After Surgery
53908,Valproic Acid
105345,"NucH protein, Aeromonas hydrophila"
164706,"MRPS28 protein, S cerevisiae"
431687,Ascochyta skagwayensis
83895,"GTF2A1L protein, human"
175140,S-(dinitrophenyl)glutathione ATPase
434199,Buellia polita
452116,Kazachstania spencerorum
168791,"SMY2 protein, S cerevisiae"
50476,Dichlorphenamide
227905,mytilipin A
90956,"Ndufb6 protein, mouse"
291569,"3,4-dihydroxy-3,4-dihydrobenzo(b)naphtho(2,1-d)thiophene"
504394,Phase Transition
199072,N-(4-((1H-indol-5-yl)amino)quinazolin-6-yl)-3-chloropropanamide
364726,chuan xiong fang
455667,Pseudallescheria fusoidea
53876,1-(1-(6-chloro-3-pyridyl)ethyl)-2-nitroiminoimidazolidine
195536,"4-acetylmethyl-3,4-dihydro-3-(2,3-dihydroxypropyl)-2,6-dimethoxy-5-nitropyrimidine"
168944,preprorelaxin
506874,"Hepatitis A Virus, Human"
177459,"catecholamine-regulated protein, 40 kDa"
279345,oxathiapiprolin
463553,Cruentotrema cruentatum
427306,Cellulariella warnieri
501846,Vohwinkel syndrome
178535,"Nupr1 protein, rat"
213367,"5,6-dihydro-6(S)-propyl-4H-thieno(2,3b)thiopyran-4-one-7,7-dioxide"
465189,Penicillium fuscum
167111,"ERI-7 protein, C elegans"
126959,"TRIM69 protein, human"
103892,"Lge1 protein, S cerevisiae"
294187,"1,3-dihydroxy-4,4,5,5-tetramethyl-2-(4-carboxyphenyl)tetrahydroimidazole"
96958,1B236 polypeptide
135996,"TBX19 protein, human"
163794,Galectins
116672,"Adam25 protein, mouse"
317791,"3-(3',17'-dihydroxyestra-1',3',5'(10')-trien-16'-methyl)benzamide"
280624,helenalin-((2-hydroxyethyl-3-methyl)acrylate)
478220,cytidine-5'-monophosphosialic acid
120455,pro-islet amyloid polypeptide
169410,styryldehydroalanine
35305,lactonic deoxybenzoin glucoside
45732,Methotrexate
166456,"protein I-II, Streptococcus mutans"
161067,hemoglobin South Florida
310943,"1,8-naphthalenedicarboxylic acid"
290826,cholic acid-verticinone ester
169907,"grp3 protein, Hordeum vulgare"
112603,S-hydroxyethylhomocysteine
103009,"unc-44 protein, C elegans"
19623,Vibrio europaeus
447577,Parmotrema arnoldii
426875,Helminthosporium endiandrae
164140,"YkgM protein, E coli"
224399,Clark 1
60148,5-isopropyl-2-((methylthiomethyl)thio)-6-(benzyl)pyrimidin-4(1H)-one
228185,"N-2'-hydroxy-3'-trans-octadecenoyl-1-o-beta-D-glucosyl- 9-methyl-cis-4,x-8-sphingadienine"
463696,Peniophora nuda
134381,cardiomyopeptidin
486779,Cladonia staufferi
452738,Pholiota fulviconica
498858,Slit Ventricle Syndrome
87191,"Frk protein, rat"
205813,topsensterol B
130840,"glycoprotein H, herpes simplex virus type 1"
270759,2-(benzothiazol-2-yl)-phenol
429957,Thelonectria nodosa
89870,"RPS25 protein, human"
483629,strontium hydroxyapatite
112146,"citropin 1.1 protein, Litoria"
161506,"Grb2 protein, rat"
507602,"Societies, Medical"
42416,"2,2'-ethylenebis(6-hydroxymethyl)-4-benzoquinone"
150210,"RCE1 protein, human"
480888,FR 209602
505848,Cellular Reprogramming
247626,neochamaejasmin B
457619,Sporothrix aurorae
21706,"anti-coagulant protein 5, Ancylostoma caninum"
288890,4-deoxy-2-hexulosonic acid
74609,trimethylsilyl bromide
82349,"GRPEL2 protein, human"
83290,"B-20 protease, Bitis arietans"
421690,VQEP protocol
421838,Tenotomy
167168,"CPK13 protein, Arabidopsis"
111905,"RME-2 protein, C elegans"
60278,N-(6-(dansylamido)hexanoyl)phenylalaninamide
225551,ethylenevinylacetate copolymer
75160,KLM 583B
495183,Erythroderma desquamativa of Leiner
43577,"3,16-dihydroxy-12-acetoxy-16,22-cyclo-23-ketone-24,25-epoxycycloartane-7-ene-3-O-xylopyranoside"
457993,Backusella oblongispora
513689,"Somatic Hypermutation, Immunoglobulin"
219184,cerium hydroxypyridinoate
440762,Golovinomyces magnicellulatus
237672,WAY 124466
108522,butyryl-CoA acetoacetate CoA transferase
63856,SCH-202676
6365,Pseudoxanthomonas dokdonensis
156834,"Scr protein, Drosophila"
116343,"MCF2L protein, rat"
184941,"2,6-di-tert-butyl-4-nitrophenol"
85603,"RBL12 protein, Arabidopsis"
169814,xenin-8
9955,Steroidobacter flavus
131156,"LGC-53 protein, C elegans"
161811,"Mtap2 protein, mouse"
435397,Clonostachys grammicosporopsis
64900,5-methylthiodimethyltryptamine
62761,platinum diamino-4-methylpyridine chloride
110796,"peptide YY (22-36), N-alpha-acetyl-Phe(27)-"
143428,alcohol dehydrogenase IV
187501,"1,3-diaza-2-oxophenoxazine"
425032,Psilocybe wrightii
194065,N-fluoroacetylgalactosamine
475494,"MIRN367 microRNA, mouse"
505502,Complement Hemolytic Activity Assay
492347,"Renal Tubular Acidosis, Distal, Autosomal Recessive, with Late-Onset Sensorineural Hearing Loss"
508368,Trichuroidea
446388,Penicillium lanosocoeruleum
5681,Gayadomonas joobiniege
149582,"MED10 protein, human"
259862,2-iodophenylmetyrapone
453570,Daedalea modesta
434803,Lactifluus longipilus
7551,Alicyclobacillus vulcanalis
36051,CHF 1255
119373,"RHOV protein, human"
116578,hemoglobin A2 Honai
97461,"ABCG40 protein, Arabidopsis"
