,Preferred Label
93563,ovohemerythrin
55208,11-nitronoracronycin
52527,Sodium Acetate
66117,"N-(tert-butyl)-2-(4-(3,5-dimethylisoxazol-4-yl)phenyl)imidazo(1,2-a)pyrazin-3-amine"
149682,"WDR55 protein, Arabidopsis"
58286,PD 135222
427054,Omphalotus flagelliformis
210354,9-(4-(trifluoromethyl)phenoxy)nonane-1-sulfonate
130884,isoleucine hydroxylase
189069,DC-tell
231781,siraitic acid F
41800,"5,7-dimethyl-2-(3'-benzo(b)thienyl)-1,8-naphthyridin-4-one"
161365,"afa-3 protein, E coli"
95500,aralin
231179,"4,5,6,7-tetrachloroindan-1,3-dione"
232370,"3',4',5'-trimethoxyflavone"
299284,N-((N(4)-(benzoyl)cytosine-1-yl)acetyl)-N-(2-(tert-butoxycarbonyl)aminoethyl)glycine
187894,neopaleaceolactoside
256220,dinitrosoglycolurile
497659,"Hemorrhagic Syndrome, Bovine"
30896,AF-CX 1325
213259,nitroharmidine nitrate
53740,"1-benzoyl-N-(4-nitrophenyl)-3-phenyl-6,7-dihydro-1H-pyrazolo(4,3-c)pyridine-5(4H)-carboxamide"
41947,itanoxone
490415,"Deafness, Autosomal Dominant 16"
128268,"cyclo(glycyl-phenylalanyl-prolyl-N-(beta)-(tert-butoxycarbonyl)-alpha,beta-diaminopropanyoly)"
160530,"Hydroxymethylglutaryl-CoA-Reductases, NADP-dependent"
445240,Umbilicaria deusta
423636,"Anesthesia, Intravenous"
39996,SR 59104A
51019,5'-cholesteryl-ethyl-phosphoryl zidovudine
515969,Histone Code
289981,dimethylarsinous acid
128155,assembly factor P17
515132,Chromosomal Instability with Tissue-Specific Radiosensitivity
57678,"3-O-p-coumaroyl-1-(4-hydroxy-3,5-dimethoxyphenyl)-1-O-glucopyranosylpropanol"
100657,glutamyl-histidyl-prolyl-7-amino-4-methylcoumarin
243776,"Steroids, Brominated"
237908,juglanthraquinone C
121545,"EXOSC1 protein, human"
257482,Imino Pyranoses
51029,"3-(5,6,7,13-tetrahydro-9-((1-methylethoxy)methyl)-5-oxo-12H-indeno(2,1-a)pyrrolo(3,4-c)carbazol-12-yl)propanol"
135075,"Zic5 protein, Xenopus"
48792,Adenosine A1 Receptor Agonists
297051,"3,4-dinitrofurazanfuroxan"
465073,Kondoa sorbi
50011,hemoregulatory peptide 5b
91097,"MNP-2 protein, human"
199008,epigallocatechin gallate 7-O-alpha-D-glucopyranoside
469502,Nectria augustoi
444619,Lepiota clypeolarioides
221448,noreremophilane
235048,"6,6'-bis(bis(2-pyridylmethyl)aminomethyl)-2,2'-bipyridine"
169606,"Nsp13 protein, SARS-CoV"
54379,clopenthixol acetate ester
254692,2-(4-azidobenzoyl)taxol
14279,Streptomyces kebangsaanensis
96980,"LIN-32 protein, C elegans"
178136,"RSO55 protein, S cerevisiae"
446465,Trechispora bispora
274442,4-methoxy-3-methyl-phenethylamine
40973,10-beta-carbethoxypropionylchrysarobin
465577,Lentaria uncispora
515522,iodonal B
199336,"2,3-dihydroxynaphthalene"
457179,Dasturella grewiae
145257,O-(2-acetamido-2-deoxy-6-O-(2-tetradecylhexadecanoyl)glucopyranosyl)-1-4-N-acetylnormuramoyl-alpha-aminobutanoyl-isoglutamine
68008,cloxic
297730,erythrosamine
425438,Castanediella cagnizarii
211793,"3-(2,6-dimethylphenoxy)-2-methyl-1-propanamine"
507199,Human papillomavirus 6
20769,"3-(4-(1-(7-chloroquinolin-4-yl)-1H-(1,2,3)triazol-4-ylmethoxy)-3-methoxyphenyl)-1-(2,4-dimethoxyphenyl)propenone"
462248,Colletotrichum rusci
189089,"Hydrocarbons, Iodinated"
123333,"mcm5 protein, S pombe"
84882,"BioI protein, Bacillus subtilis"
83609,"FLRT3 protein, Xenopus"
302371,MW01-2-069A-SRM
241207,rhamnopyranosyl-1-6-glucopyranosylbergaptol
155162,"Mink1 protein, mouse"
471847,Particulate Matter
101458,endodeoxyribonuclease BspLU11III
68236,"3,3-diethyl-2,4-dioxopiperidine"
189732,2-sulfoethyl methacrylate
117889,"HBII protein, Casuarina glauca"
428532,Penicillium griseum
53299,5-hydroxyuracil
185744,"1,4-bis(cytisin-12-yl)-2-butyne"
59090,ichthyothereol
278112,"3,9beta-hydroxy-22alpha,23alpha-epoxy-9(10)-seco-solanida-1,3,5(10)-triene"
60972,1-deoxyallonojirimycin
260961,6-methoxybenzofuran-2-yl-(4-fluorophenyl)-3-pyridylmethanol
426459,Pseudocercospora mombin
141598,hemoglobin J Guantanamo
218068,"amidophosphoric acid, diphenyl ester"
427561,Ciboria amentacea
114659,"THI6 protein, S cerevisiae"
