,Preferred Label
460992,Ustilago tragopogonis-pratensis
251648,"pyridazino(4,5-e)-1,4-diazepine"
89542,"SPAG11A protein, human"
110850,"Yuri protein, Drosophila"
495490,Asthenopia
96844,hemoglobin Atlanta
505721,Multidimensional Scaling Analysis
205426,"N,N-diethylcyclohexaneacetamide"
427879,Ceratocystis fimbriatomima
291730,"2,3-diketoxylose"
473628,3-(2-carboxyethyl)thymine
117225,4-leucylaminoantipyrine hydrolase
56670,"6-hydroxydichotoma-4,14-diene-1,17-dial"
87868,"GP2 protein, human"
297475,GR 65630
156208,"USP29 protein, human"
57276,nilvadipine
107795,HA-1 antigen
194013,cyclobakuchiol C
434265,Aspergillus funiculosus
105574,"SIFamide receptor, Drosophila"
133994,"Syk protein, rat"
144655,"Esc8 protein, S cerevisiae"
115882,MAP kinase kinase ubc5
133587,"LSU4 protein, Arabidopsis"
468220,Psilocybe liniformans
26392,"PAI3 protein, S cerevisiae"
95282,"Phox2b protein, mouse"
30771,Roussin's Black Salt
30106,MNI-444
112410,cycloviolacin O14
468431,Penicillium paradoxum
98690,"dip-2 protein, C elegans"
223247,erysulfoxide
57856,Plenosol
9289,Desulfomicrobium hypogeium
218113,"(4'-(4-methacryloyloxymethylphenyl)-2,2'-6',2''-terpyridine)(4'-(4-methoxyphenyl)-2,2'-6',2''-terpyridine)ruthenium(II)"
275348,scutalbin C
112305,WT1(332)(KRYFKLSHLQMHSRKH)
105537,"Otx2 protein, mouse"
129759,"ribosomal protein L23A, Arabidopsis"
45703,"3-(N,N-diethylamino)propylindometacin"
494842,"Peroxisome Biogenesis Disorder, Complementation Group 13"
114654,"YbjE protein, E coli"
180557,ATP Citrate (pro-S)-Lyase
431099,Fomitiporella austroasiana
421724,DAVTH protocol
275238,ethyl 2-(5-(4-chlorophenyl)pentyl)oxiran-2-carboxylate
105352,"CP15 protein, Cryptosporidium parvum"
422988,ACHM protocol
212776,"ethyl-4,5-dihydro-5,5-diphenylisoxazol-3-carboxylate"
515068,Chromosome Fragility
70106,cytoxazone
30603,kmeriol
71933,"1-(N-(2-(3,4-dimethoxyphenyl)ethyl)-N-methylaminoacetyl)-1,2,3,4-tetrahydropyrido(2,3-b)(1,4)thiazepine"
247996,"5-(4-(1-hydroxyethyl)phenyl)-10,15,20-triphenylporphyrin"
505377,Flow Cytometry
356571,octenoyl-coenzyme A
162502,fibrinopeptide D
440165,Postia stellifera
27826,acodazole
271650,IEM 1078
477044,1-(adenin-9-yl)-1-deoxy-N-cyclohexylribofuranuronamide
268110,10'-O-demethylstreptonigrin
51127,ethylthioninium
31923,SNX 325
306996,"1-(2,3,4-trideoxy-2-methylene-beta-d-glycero-hex-3-enopyranosyl)thymine"
55068,PS210
287622,"2,2-dimethyl-4-(1-oxo-2-cyclopenten-2-yl)-6-trifluoromethyl-3,4-dihydro-2H-1,4-benzothiazine"
71644,"1,5-dihydro-4-(4-(1H-imidazol-1-yl)phenyl)-3-methyl-2H-pyrrol-2-one"
285244,9-tetradecenylamine
275759,germacrene D
144842,"CHD3 protein, Drosophila"
