,Preferred Label
515238,Sparrows
240682,rubradiric acid A
206929,"2,2,6,6-tetramethylpiperidine N-oxyl 4-iodoacetate"
462661,Paraphaeosphaeria rosae
164225,mTNF-PADRE
28192,4-(7-(2-(4-chlorophenoxy)ethyl)-6-hydroxy-2-(methylamino)-7H-purin-8-yl)phenylphosphonic acid
124788,Keratin-4
498831,Cleft palate X-linked
197873,eupomatilone 7
143602,"autoantigen 1, Cavia porcellus"
302521,omega-pentadecalactone
500686,Hoolock tianxing
44546,1-(4-chlorophenyl)-3-(4-nitrophenyl)prop-2-en-1-one
282061,formaldehyde-hydroquinone polymer
152574,"DSB-1 protein, C elegans"
220843,m2C60 compound
491913,Rinderpest
431799,Mortierella sclerotiella
284090,"3-amino-8-hydroxy-4-imino-6-methyl-5-phenyl-4,5-dihydro-3H-chromeno(2,3-d)pyrimidine"
97650,"leucurobin, Bothrops leucurus"
495013,Echinostomiasis
487068,Griffonia
134525,WLP-S-10
449836,Diaporthe vawdreyi
318390,Amberlite XE 64
198824,2-methacryloyloxyethyl dihydrogen phosphate
274776,silenoside B
498062,Partington X-linked mental retardation syndrome
28011,15(S)-15-methylprostaglandin E1
26159,hypoxanthine arabinoside
120462,"cutlet protein, Drosophila"
318971,Manganese-52
206229,methyl phenyl selenide
510210,Asphyxia
453342,Platythecium grammitis
494957,Fibrocartilaginous embolism
486903,Pseudocyphellaria murrayi
45791,Calcion
285732,phenyl alpha-N-acetylgalactosaminide
465281,Fuscutata aurea
283431,8-prenylmucronulatol
244786,trifluoroethyl salicylate
187827,"14,15-secocholestane"
146519,Org 46035
102419,TRPV6 channel
496053,Job Syndrome
281341,hyenanchin
96424,"Sox5 protein, mouse"
271200,nickel(II) tetrakis(3-methoxy-4-hydroxyphenyl)porphyrin
159914,"anthrolysin O, Bacillus anthracis"
4692,Streptomyces avellaneus
147644,"24,25-dihydrolanosterol 14 alpha-oxidase"
290407,huperzine R
316629,"2-(2-(((4-methoxy-2,6-dimethylphenyl)sulfonyl)methylamino)ethoxy)acetyl chloride"
83117,glutamate phosphonic acid
127013,"CHIC1 protein, human"
177256,endometriosis protein II
56078,tetrabutyl squarate
23173,"cyclo-(3-methylsaligenyl)ribofuranosyl-4-(3-thienyl)-5-fluoro-7'H-pyrrolo(2,3-d)pyrimidine-5'-O-phosphate"
36008,isopinocampheyl 2-methyl-2-(3-pyridyl)propanoate
361475,"BC168687 long noncoding RNA, rat"
65330,Nicarbazin
192324,N-acetylanilino glucopyranoside
509863,Pinocytosis
55359,VE 16084
445510,Peziza vesiculosa
90043,"RPS3 protein, human"
316786,S18986-1
122443,"ADA2 protein, Plasmodium falciparum"
201499,"4-amino-7-benzylpyrrolo(2,3-d)(1,2,3)triazine-5-carbonitrile"
71128,pyridoxatin
318140,"5-(4-dimethylamino-phenyl)-penta-2,4-dienoic acid methyl ester"
12765,Mycolicibacter paraterrae
246743,lepedine
215001,"1,3-alternate 25,27-dipropoxy-26,28-bis-(3-propyloxy)-calix(4)arene"
505697,"Clinical Trials, Phase II as Topic"
201151,phomazine B
424777,Astrothelium robustum
147824,insulin receptor peptide (1135-1156)
431551,Pneumocystis gerbil
60066,SQ 32056
117725,"ADBP-1 protein, C elegans"
424445,Helicoon farinosum
501207,Hypertelorism
91349,"PRK1 protein, S cerevisiae"
148256,19-O-acetylchaetoglobosin B
31626,chan-yu-bao-yuan-tang
304068,"2,3-diamino-2,3-bis(hydroxymethyl)-1,4-butanediol"
246949,APE-LM
157682,"zygocin protein, Zygosaccharomyces bailii virus M"
155242,"TxXIIIA toxin, Conus textile"
24544,5-azido-UDP-acetylhexosamine
504294,Cellular Microenvironment
298349,"diaquatetrakis(3,5-dimethylpyrazole-N(2))nickel(II)"
2043,Vibrio campbellii
431408,Lachnum brevipilosum
81878,"Itmap2b protein, mouse"
174783,"NarE protein, Neisseria meningitidis"
100077,polyneuridine aldehyde esterase
49558,"algininic acid, mafenide drug combination"
56048,"1,4-phenylenebis(methylene)selenocyanate"
500365,"Hospitals, Group Practice"
301267,"2-hydroxy-1,3,7,8-tetrachlorodibenzo-4-dioxin"
6336,Flavobacterium omnivorum
115693,"egh protein, Drosophila"
436362,Cortinarius annae-maritae
40051,2-(difluoro-((4-ethylpyrimidinyl)thio)methyl)benzoxazole
421050,Super Syntrex
506602,Avipoxvirus
122383,Gliadin
141081,Acrosin
455409,Annulusmagnus triseptatus
49952,4-(1H-tetrazol-5-yl)-N-(4-(1H-tetrazol-5-yl)phenyl)benzamide
44344,phenylthiocarbamyl-S-ethylcysteine
441885,Cortinarius subcoronatus
108719,"Bcl9l protein, rat"
87242,"PPM1F protein, human"
286560,5-(ethoxycarbonylmethoxy)-9-(phenylazo)benzaldoxime
193484,6-oxy-(acetyl piperazine) fluorescein
102924,"SSL-1 protein, C elegans"
503239,"Oxygenators, Membrane"
37745,6-methoxy-2-styrylquinazolin-4(3H)-one
311632,"2,4,5,6-tetradeuterocotinine"
311910,acetylisoniazid
147202,NNQQ peptide
259758,beta-D-glucuronyl-(1-3)-6-O-sulfo-beta-D-glucopyranosyl
120627,"Qnr protein, Enterococcus faecium"
43595,dipfluzine
450470,Phyllactinia kakicola
214839,terpinyl acetate
121035,"LEA11 protein, Arabidopsis"
423830,Neonatal Screening
54283,Rennie
147617,"durancin TW-49M, Enterococcus durans"
221067,luteoreticulin
505576,"Colony Count, Microbial"
50884,"2-acetonyl-1,4-bis((4-etoxybenzensulfonyl)amino)naphthalene"
139266,myelin basic protein 114-122
40123,linaprazan
33426,ArginMax
281037,"2beta-(L-rhamnopyranosyl)-3alpha-angeloyloxy-15-acetyloxy-7,13(14)E-dien-ent-labdane"
467727,Coniocessia minima
165963,"XPA protein, human"
455918,Septobasidium bogoriense
262281,triethyl isocyanurate
200260,"1,23,25,26-tetrahydroxyvitamin D3"
420252,MPDS-SL
285204,beta-isorhodomycinone
437694,Heterodermia hypoleuca
311021,citreofuran
18780,Mameliella alba
270515,cyclotriveratrylene
117973,"Receptors, Histamine H4"
514171,Constitution and Bylaws
293709,"trans-2,3-dihydro-2,3-bis(dicyanomethyl)-5,10,15,20-tetra((4-o-carbonyl)phenyl)chlorin"
298490,bis(trimethylsilyl)cyclopentenone
7490,Micromonospora endophytica
106632,"hoxc5a protein, zebrafish"
112247,"Satb2 protein, zebrafish"
5467,Paenibacillus hodogayensis
83256,"Rrad protein, mouse"
425975,Huntiella moniliformopsis
8508,Clostridium cavendishii
255259,garcinianone B
248018,"3-(3-aminopropoxy)-1,5,9-triazacyclododecane"
423468,Bone Marrow Purging
156036,"TOA2 protein, S cerevisiae"
479034,N(2)-(1-carboxyethyl)guanosine 5'-monophosphate
57989,protamine +18RGD
130133,decamin
507905,Drosophila melanogaster
156231,"SPL4 protein, Arabidopsis"
254515,"4-methyl-5-fluoro-2-aminophenol-N,N,O-triacetate"
463630,Trichothelium pallidisetum
311560,crabescein
246819,"6-(4-nitrophenyl)-3-((5,6,7,8-tetrahydronaphthalen-2-yl)oxymethyl)-7H-1,2,4-triazolo(3,4-b)-1,3,4-thiadiazine"
144306,CBFbeta-MYH11 fusion protein
300689,"2,3-seco-2,3-dioxo-lyngbyatoxin A"
314377,iconisoflaven
56692,2-(2-(4-(bis(2-(2-aminophenylsulfanyl) ethyl)amino)phenyl)vinyl)-5-methylterephthalonitrile
56310,acetamidotetramethylrhodamine
285707,"7-(2-(2,2-difluoroethoxy)-3,5-di-tert-butylbenzene)-3-methylocta-2,4,6-trienoic acid"
87888,"crc protein, Drosophila"
282776,N-octyl imidazole
291592,N-(2-(pyridin-3-ylmethyl)-1-azabicyclo(2.2.2)oct-3-yl)-1-benzofuran-2-carboxamide
241805,strychnilactone
211764,"1,1'-biphenyl-2,3',3,4'-tetracarboxylic acid"
82117,"spas protein, Drosophila"
7897,Sphingomonas sanxanigenens
52089,oryzalexin A
312110,4'-hydroxybutobarbitone
49103,n-piperazinylquinolone
426362,Torula chiangmaiensis
467886,Dictyonema aeruginosulum
70413,2'-deoxy-4'-thiocytidine
219391,"4-(4-((5,7-dimethyl-2-ethyl-3H-imidazo(4,5-b)pyridin-3-yl)methyl)phenyl)-3-(2H-tetrazol-5-yl)quinoline"
441657,Chroogomphus albipes
54154,1-(2-aminoethyl)-3-phenylthiourea
61613,"6-(4-(methylsulfonyl)phenyl)-4,5-diphenyl-3,4-dihydropyrimidine-2(1H)-thione"
163043,"portal protein, Bacteriophage SPP1"
437172,Inocybe gymnocarpa
22249,5-(1-azidovinyl)-2'-deoxyuridine
279041,forsythenethoside B
170738,"NF-M17 protein, human"
114631,"VpsC protein, Shigella flexneri"
465323,Entoloma cetratum
499490,Hong Kong
483758,"tris(2,2'-bi(tetrahydropyrimidine))-Fe(II)"
193657,daphnauranin B
486830,Prunus domestica
153793,parathyroid hormone-related protein (107-139)amide
500276,"Schools, Nursing"
421671,CAMF protocol
24190,4-amylcinnamoylanthranilic acid
