,Preferred Label
429079,Golovinomyces sonchicola
299257,"3,5-dihydroxy-4-methoxybenzoic acid"
83982,"CHORDC1 protein, human"
286663,"N,N-diethyl-N'-methylurea"
448065,Cortinarius aureomarginatus
446236,Aptrootia robusta
254469,methyl 6-eicosanyl-2-hydroxy-4-methoxybenzoate
12321,Desulfocurvus thunnarius
227846,phomallenic acid A
321855,cerium sulfate
477176,5-fluoro-4-thio-2'-deoxyuridylate
432960,Hohenbuehelia petaloides
150066,"OSCP1 protein, human"
189489,clinopodiside A
244375,neodolabellane
149274,mannosidestreptomycin hydrolase
82463,"Porcn protein, mouse"
79886,N-acetyl-2-aminooctanoic acid
8525,Paraburkholderia sabiae
102760,protein kinase C (15-28)
485098,"4'-ferrocenyl-2,2':6',2' '-terpyridine"
228880,poly(styrene-ethylene-butylene)
144958,"Emc10 protein, mouse"
86562,"ZNF182 protein, Xenopus"
67593,cylindrospermopsin
57640,1-methylmethylene blue
424866,Inocybe acutella
465106,Leptosphaeria slovacica
434848,Trichophaea hemisphaerioides
182794,"bHLH115 protein, Arabidopsis"
424339,Cladonia cryptochlorophaea
513544,Sex Characteristics
482976,fasamycin A
62539,magnesium hydroxycarbonate
122323,"ALS2CL protein, human"
101525,"RbAp1 protein, Zea mays"
153695,"ARNT2 protein, human"
238128,phenyl-phenanthridine
186572,"benzimidazole-5-(1-(3,5-dichloropyridin-4-yl)ethoxy)-1H-indazole"
424133,Cortinarius vernalis
20227,pandaroside F
191211,plagionicin A
49361,"4-(3,5-dimethoxystyryl)phenyl acetate"
446762,Alternaria novae-guineensis
22319,6-hydroxyethoxzolamide
38429,CD 3400
23061,CP 92768-2
16916,Caldicellulosiruptor kristjanssonii
84398,5-methyl-3-pyrrolidinecarboxylic acid
219590,"2,5-anhydroglucitol"
101532,"DICAM protein, mouse"
17168,Nonomuraea muscovyensis
446333,Trametes ljubarskyi
128758,"LGR4 receptor, rat"
506295,Laboratory Animal Science
474572,2'-deoxy-7-deazaisoguanosine triphosphate
122941,"MmsA protein, Streptococcus pneumoniae"
226005,desomorphine
27826,acodazole
445770,Sphaeropezia lyckselensis
506979,"Herpesvirus 1, Ranid"
25055,benzquinamide
105352,"CP15 protein, Cryptosporidium parvum"
256187,"1,1-diphenylethane"
1324,Sinimarinibacterium flocculans
504247,Hypogravity
132288,"BE-I-PLA2 protein, Bothrops erythromelas"
237286,neolactotetraose
119544,Q beta Replicase
495035,Combined Immunodeficiency with Autoimmunity and Spondylometaphyseal Dysplasia
182185,"viral chemokine CXC-1, Cytomegalovirus"
92951,"R33 protein, rat cytomegalovirus"
120079,tsalol
292638,6-O-acetylascorbic acid
54150,(1-piperidinyl)ethyl 1H-indole-3-carboxylate
261064,ethyl-3-(N-n-butyl-N-acetyl)aminopropionate
46796,"2,4,6-triiodophenol"
85374,"MCM2 protein, Dugesia japonica"
258691,N-benzyl-2-cyano-2-(hydroxyimino)acetamide
439208,Gypsoplaca macrophylla
65770,chryscandin
288764,4-O-acetyl-2-acetamido-2-deoxy-mannuronic acid
202475,RWJ 52353
314106,deuteroheme
438267,Lepiota aureofulvella
35265,quebrachamine
487785,"Fractures, Multiple"
158894,"beta,beta-dimethylaspartic acid"
22359,eutigoside B
311007,"7-nitro-benzotetrazine-1,3-dioxide"
96782,"MICOS13 protein, human"
172571,14-hydroxy-cyclopeptine
273051,"1-methyl-3-phenyltriazino(4,3-a)benzimidazol-4(1H)-one"
441486,Rhizopogon butyraceus
257713,N-beta-D-glucopyranosylaristololactam
24281,9-O-methyl-(N-acetyl-alpha-D-neuraminosyl)-(2-3)-inositolphosphoceramide
163889,"FXR1 protein, rat"
17781,Jeotgalicoccus nanhaiensis
242741,epiaustraline
461000,Lipomyces mesembrius
443178,Muyocopron lithocarpi
35352,ISF 2715
43604,dodecyl polyoxyethylene sulfuric acid
28035,enibarcimab
225693,"poly(1,4-phenylene-(9,9-bis(4-phenoxybutylsulfonate))fluorene-2,7-diyl)"
507974,Cimicidae
453134,Emmia latemarginata
102475,"Ifna12 protein, mouse"
78105,acanthoic acid
181271,"MADD protein, human"
200475,"1-(1,1-bis(4-fluorophenyl)-1,3-dihydroisobenzofuran-5-yl)-4-(dimethylamino)butan-1-one"
11321,Kribbella flavida
189755,iso-pestalazine A
486239,Parmeliopsis hyperopta
174016,"GDP-L-galactose phosphorylase, Arabidopsis"
224095,methyl 2-(methylthio)benzoate
42346,anlotinib
69832,AVX001
26386,"1-methylimidazole-4,5-dicarboxylic acid"
500997,Arteriovenous Fistula
292310,"cyclopenta(b)benzofuran, 1-O-acetylrocaglaol"
162806,TACI receptor-IgG Fc fragment fusion protein
21516,5-(2-(methyl(2-phenethyl)amino)-2-oxoethyl)-2-(benzyloxy)cinnamic acid
490503,Periapical Abscess
43764,diisopropylphosphorodithioato diphenyltin
67538,fluoroerythronitroimidazole
34052,SCH 42137
108538,"Drep2 protein, Drosophila"
154794,"TPK3 protein, Arabidopsis"
474475,arabino-4-thiouridine
104441,"Sephs2 protein, mouse"
128553,"YtfQ protein, E coli"
128077,atrial natriuretic factor (1-11)
55508,huang-qi san
454064,Gloniopsis praelonga
96206,"alphaIT toxin, Buthotus judaicus"
458006,Cortinarius aerugineoconicus
168437,protein C activator peptide
146268,Caspases
247620,Rocanal
473134,polyd(Abr5U).polyd(Abr5U)
450909,Hortiboletus subpaludosus
268579,purealidin N
83268,"MexA protein, Pseudomonas aeruginosa"
160195,heliodermatine
300416,"4,5-dichloro-2-methyl-4-isothiazolin-3-one"
307884,6-azido-6-deoxytrehalose
72925,"pyrido(3,4-c)psoralen"
